Time,ID,Lat,Lon,Alt,SSID,MAC,Ferquency,Signal
"",Device ID: LMY47V
Sun Dec 10 16:29:00 IST 2017,,31.89736629,34.81646272,89.0,BezeqFree,14:af:db:a3:f0:ba,2,-89
Sun Dec 10 16:29:00 IST 2017,,31.89737539565788,34.81643414237813,91.63550155578604,edimaxEXT.setupa0,74:da:38:83:03:a0,2,-87
Sun Dec 10 16:29:00 IST 2017,,31.89738960673157,34.816467515029686,95.92090647941271,www.cornet.co.il,00:23:cd:1c:4c:b0,5,-89
Sun Dec 10 16:29:00 IST 2017,,31.89736657,34.81646358,89.0,Rozalia,d0:0f:6d:81:a4:01,3,-90
Sun Dec 10 16:29:00 IST 2017,,31.89736711,34.81646478,89.0,naomi,14:ae:db:a3:f0:ba,2,-85
Sun Dec 10 16:29:00 IST 2017,,31.89736711,34.81646478,89.0,dina_2GExt,d0:0e:d9:18:12:f1,11,-89
Sun Dec 10 16:29:00 IST 2017,,31.897385279318645,34.81646670053994,96.07567346461754,ortal123,14:ae:db:a2:e3:0d,11,-92
Sun Dec 10 16:29:00 IST 2017,,31.8973668,34.81646568,89.0,dina_5GExt,d0:0e:d9:18:12:f0,36,-90
Sun Dec 10 16:29:00 IST 2017,,31.897375948076668,34.816462870846,96.25446133509584,Virus,74:d0:2b:5e:8b:e8,11,-81
Sun Dec 10 16:29:00 IST 2017,,31.8973901747317,34.816468474199986,95.92265429460961,BezeqFree,06:ae:db:38:99:3d,6,-91
Sun Dec 10 16:30:00 IST 2017,,31.89738071531849,34.81646082259202,100.22283447211814,Harazi,e0:ce:c3:8a:d4:45,1,-30
Sun Dec 10 16:30:00 IST 2017,,31.897366590000004,34.81646204,89.0,vered_p,a0:ab:1b:56:5e:94,4,-91
Sun Dec 10 16:31:00 IST 2017,,31.8973664,34.81644679,90.0,Alis1,7c:b7:33:be:5e:e7,13,-86
Sun Dec 10 16:37:00 IST 2017,,31.897383728851167,34.816458699876556,99.45652341640306,GAL,84:26:15:e9:95:a3,1,-81
Thu Jan 01 02:00:00 IST 1970,,31.897383965,34.81645758,51.5,Haymon2,14:ae:db:c8:11:7d,11,-94
Sun Dec 10 18:37:00 IST 2017,,31.89742016,34.81647415,103.0,vilensky,e8:94:f6:87:a8:32,44,-90
Sun Dec 10 18:37:00 IST 2017,,31.897401515,34.816467345,103.0,riva,14:ae:db:52:41:85,11,-90
Sun Dec 10 18:37:00 IST 2017,,31.89739328674429,34.81645518475964,95.56436609640278,DAP-1325,78:32:1b:07:7c:2c,9,-93
Sun Dec 10 18:41:00 IST 2017,,31.897384145347253,34.8164335594089,103.45960370938688,Oxana25,14:ae:db:38:99:3d,6,-90
Sun Dec 10 18:41:00 IST 2017,,31.897392635362866,34.81642682310549,99.89789029535865,medina,8c:59:c3:e9:8e:02,2,-93
Sun Dec 10 18:41:00 IST 2017,,31.897401950793796,34.8164700940022,99.42222698331372,BezeqFree,06:ae:db:38:99:3d,6,-90
Sun Dec 10 18:42:00 IST 2017,,31.897383562968184,34.816460475960504,102.4490965450532,Harazi,e0:ce:c3:8a:d4:45,1,-29
Sun Dec 10 18:42:00 IST 2017,,31.89739744180159,34.816465530818974,103.0,HaikuAndi,00:e0:20:6b:23:04,1,-79
Sun Dec 10 18:42:00 IST 2017,,31.897413320000002,34.81647157,103.0,benraf1,c8:be:19:0e:b5:42,3,-93
Sun Dec 10 18:42:00 IST 2017,,31.897401255244226,34.816469504775625,99.42045963762706,www.cornet.co.il,00:23:cd:1c:4c:b0,5,-88
Sun Dec 10 18:42:00 IST 2017,,31.89739965537267,34.81646618697499,103.0,Claude,c4:12:f5:fd:53:c2,11,-92
Sun Dec 10 18:42:00 IST 2017,,31.89741188,34.81647065,103.0,Bezeq-NGN_CCB255E81C7F,cc:b2:55:e8:1c:80,6,-90
Sun Dec 10 18:42:00 IST 2017,,31.89741141,34.8164703,103.0,vered2.4,74:da:3b:81:69:bb,10,-91
Sun Dec 10 18:42:00 IST 2017,,31.897411250000005,34.81647017,103.0,vered2.4_2EX,74:da:38:81:69:ba,10,-93
Sun Dec 10 18:43:00 IST 2017,,31.89740996,34.81646984,103.0,Rotman2,80:1f:02:5d:a2:50,10,-89
Sun Dec 10 18:43:00 IST 2017,,31.89739609217732,34.816464776459945,103.0,david,8c:59:c3:e8:d1:1b,52,-85
Sun Dec 10 18:43:00 IST 2017,,31.897409650000004,34.81646977,103.0,BezeqFree,52:12:f5:fd:53:c3,11,-90
Sun Dec 10 18:45:00 IST 2017,,31.897402678832044,34.816468343548514,103.0,Bamberger_Net,ac:f1:df:9e:cd:41,1,-91
Sun Dec 10 18:46:00 IST 2017,,31.89740514,34.8164688,103.0,NIPPON_7069,08:97:58:33:5c:aa,3,-80
Sun Dec 10 18:46:00 IST 2017,,31.897405,34.81646877,103.0,HOTBOX-ED6A,7c:03:4c:ff:3e:48,11,-91
Sun Dec 10 18:47:00 IST 2017,,31.897394265768302,34.81646765042892,99.57526443081417,ortal123,14:ae:db:a2:e3:0d,11,-93
Sun Dec 10 18:47:00 IST 2017,,31.89740305,34.81646857,103.0,midr-cardvr-v1_midevc5fc,44:2c:05:ce:c5:fc,9,-89
Sun Dec 10 18:48:00 IST 2017,,31.8973927475,34.816462975,77.25,Haymon2,14:ae:db:c8:11:7d,11,-94
Sun Dec 10 18:49:00 IST 2017,,31.897400319999996,34.81646813,103.0,BezeqFree,06:ae:db:c8:11:7d,11,-93
Sun Dec 10 18:49:00 IST 2017,,31.89740132067412,34.81646822393093,103.0,Bamberger_Net,ac:f1:df:9e:cd:41,1,-86
Sun Dec 10 18:52:00 IST 2017,,31.89739158,34.81646565,103.0,G4_3529,5c:70:a3:8b:ea:5c,6,-84
Sun Dec 10 18:56:00 IST 2017,,31.89738816,34.81646321,103.0,AndroidAP,98:86:b1:05:18:dd,6,-81
Sun Dec 10 18:57:00 IST 2017,,31.89738757,34.81646223,103.0,Xperia_XA_e6be,9e:5c:f9:56:d7:8f,6,-90
Sun Dec 10 18:59:00 IST 2017,,31.8973863,34.81646175,103.0,MEIZU_M3s,1e:cd:e5:5c:23:f6,10,-84
Sun Dec 10 19:01:00 IST 2017,,31.89737537462549,34.81644215581809,103.25540787073234,Tuvia,ac:f1:df:9e:fa:61,13,-83
Sun Dec 10 19:01:00 IST 2017,,31.89739273201424,34.816463535263914,103.0,Claude,c4:12:f5:fd:53:c2,11,-87
Sun Dec 10 19:02:00 IST 2017,,31.897383562968184,34.816460475960504,102.4490965450532,Harazi,e0:ce:c3:8a:d4:45,1,-46
Sun Dec 10 19:02:00 IST 2017,,31.89737865640642,34.81643322812374,101.76050550472941,arye52,14:ae:db:3c:7c:d2,5,-87
Sun Dec 10 19:02:00 IST 2017,,31.897383976312977,34.81645950975157,101.20625338592858,GAL,84:26:15:e9:95:a3,1,-80
Sun Dec 10 19:02:00 IST 2017,,31.897371921911652,34.81643554360546,103.34712039726219,Tuvia,ac:f1:df:9e:fa:61,13,-86
Sun Dec 10 19:02:00 IST 2017,,31.89738423,34.81646034,103.0,BezeqNGN_008702_2.4GHz_1,f8:e9:03:11:bc:09,6,-79
Sun Dec 10 19:02:00 IST 2017,,31.89738423,34.81646034,103.0,GOLANT,42502_732_3859743,0,-113
Sun Dec 10 19:02:00 IST 2017,,31.897389719669906,34.81646242620965,103.0,david,8c:59:c3:e8:d1:1b,52,-92
Sun Dec 10 19:02:00 IST 2017,,31.897377478916034,34.816452671937036,98.5016137841998,Yarden,c0:ac:54:f7:50:5a,6,-89
Sun Dec 10 19:02:00 IST 2017,,31.89736773894027,34.816432555946825,99.15617046623707,idolior_5GExt,64:d9:54:e5:68:e2,44,-93
Sun Dec 10 19:02:00 IST 2017,,31.897378715419862,34.81643341904614,101.76707973259417,BezeqFree,14:af:db:3c:7c:d2,5,-85
Sun Dec 10 19:02:00 IST 2017,,31.897384279999997,34.81646042,103.0,hopfeld,14:ae:db:aa:74:72,2,-91
Sun Dec 10 19:02:00 IST 2017,,31.897383251872892,34.81646053937079,102.19216207058383,Harazi,e0:ce:c3:8a:d4:45,1,-39
Sun Dec 10 19:02:00 IST 2017,,31.89738432,34.81646044659311,103.0,Bezeq-NGN_E817A7,cc:b2:55:e8:17:a8,6,-89
Sun Dec 10 19:02:00 IST 2017,,31.89738432,34.81646043917771,103.0,Bezeq-NGN_E817A7,cc:b2:55:e8:17:a8,6,-80
