Time,ID,Lat,Lon,Alt,SSID,MAC,Ferquency,Signal
"",Device ID: LMY47V
Sun Dec 10 16:29:00 IST 2017,,31.89736629,34.81646272,89,BezeqFree,14:af:db:a3:f0:ba,2,-89
Sun Dec 10 16:29:00 IST 2017,,31.89736629,34.81646272,89,edimaxEXT.setupa0,74:da:38:83:03:a0,2,-87
Sun Dec 10 16:29:00 IST 2017,,31.89736657,34.81646358,89,www.cornet.co.il,00:23:cd:1c:4c:b0,5,-89
Sun Dec 10 16:29:00 IST 2017,,31.89736657,34.81646358,89,Rozalia,d0:0f:6d:81:a4:01,3,-90
Sun Dec 10 16:29:00 IST 2017,,31.89736711,34.81646478,89,naomi,14:ae:db:a3:f0:ba,2,-85
Sun Dec 10 16:29:00 IST 2017,,31.89736711,34.81646478,89,dina_2GExt,d0:0e:d9:18:12:f1,11,-89
Sun Dec 10 16:29:00 IST 2017,,31.89736711,34.81646478,89,ortal123,14:ae:db:a2:e3:0d,11,-92
Sun Dec 10 16:29:00 IST 2017,,31.8973668,34.81646568,89,dina_5GExt,d0:0e:d9:18:12:f0,36,-90
Sun Dec 10 16:29:00 IST 2017,,31.89736688,34.81646527,89,Virus,74:d0:2b:5e:8b:e8,11,-81
Sun Dec 10 16:29:00 IST 2017,,31.89736688,34.81646527,89,BezeqFree,06:ae:db:38:99:3d,6,-91
Sun Dec 10 16:30:00 IST 2017,,31.89736636,34.81646257,89,Harazi,e0:ce:c3:8a:d4:45,1,-30
Sun Dec 10 16:30:00 IST 2017,,31.89736659,34.81646204,89,vered_p,a0:ab:1b:56:5e:94,4,-91
Sun Dec 10 16:31:00 IST 2017,,31.8973664,34.81644679,90,Alis1,7c:b7:33:be:5e:e7,13,-86
Sun Dec 10 16:37:00 IST 2017,,31.89738324,34.8164571,96,GAL,84:26:15:e9:95:a3,1,-81
Thu Jan 01 02:00:00 IST 1970,,31.8973664,34.81644679,0,Haymon2,14:ae:db:c8:11:7d,11,-94
Sun Dec 10 18:37:00 IST 2017,,31.89742016,34.81647415,103,vilensky,e8:94:f6:87:a8:32,44,-90
Sun Dec 10 18:37:00 IST 2017,,31.89742016,34.81647415,103,riva,14:ae:db:52:41:85,11,-90
Sun Dec 10 18:37:00 IST 2017,,31.89742016,34.81647415,103,DAP-1325,78:32:1b:07:7c:2c,9,-93
Sun Dec 10 18:41:00 IST 2017,,31.89741447,34.81647161,103,Oxana25,14:ae:db:38:99:3d,6,-90
Sun Dec 10 18:41:00 IST 2017,,31.89741415,34.81647198,103,medina,8c:59:c3:e9:8e:02,2,-93
Sun Dec 10 18:41:00 IST 2017,,31.89741399,34.81647175,103,BezeqFree,06:ae:db:38:99:3d,6,-90
Sun Dec 10 18:42:00 IST 2017,,31.89741338,34.81647162,103,Harazi,e0:ce:c3:8a:d4:45,1,-29
Sun Dec 10 18:42:00 IST 2017,,31.89741338,34.81647162,103,HaikuAndi,00:e0:20:6b:23:04,1,-79
Sun Dec 10 18:42:00 IST 2017,,31.89741332,34.81647157,103,benraf1,c8:be:19:0e:b5:42,3,-93
Sun Dec 10 18:42:00 IST 2017,,31.89741317,34.81647154,103,www.cornet.co.il,00:23:cd:1c:4c:b0,5,-88
Sun Dec 10 18:42:00 IST 2017,,31.89741277,34.81647121,103,Claude,c4:12:f5:fd:53:c2,11,-92
