Time,ID,Lat,Lon,Alt,SSID,MAC,Ferquency,Signal
"",Device ID: LMY47V
Sun Dec 10 19:43:00 IST 2017,,31.897382477509236,34.81639683967304,96.39511387164943,arye52_5,14:ae:db:3c:7c:d5,48,-86
Sun Dec 10 19:43:00 IST 2017,,31.897382482923266,34.81639684065076,96.39345108665727,zenit_5,6c:b0:ce:35:a9:a1,60,-87
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,edimaxEXT.setup5Ga1,74:da:38:83:03:a1,52,-91
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,edimaxEXT.setup5Ga1,74:da:38:83:03:a1,52,-91
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,edimaxEXT.setup5Ga1,74:da:38:83:03:a1,52,-91
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,edimaxEXT.setup5Ga1,74:da:38:83:03:a1,52,-91
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,edimaxEXT.setup5Ga1,74:da:38:83:03:a1,52,-91
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,edimaxEXT.setup5Ga1,74:da:38:83:03:a1,52,-91
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,edimaxEXT.setup5Ga1,74:da:38:83:03:a1,52,-91
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,edimaxEXT.setup5Ga1,74:da:38:83:03:a1,52,-91
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,edimaxEXT.setup5Ga1,74:da:38:83:03:a1,52,-91
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,edimaxEXT.setup5Ga1,74:da:38:83:03:a1,52,-91
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766000001,95.0,DanArie_5,14:ae:db:ca:7e:dd,48,-87
Sun Dec 10 19:43:00 IST 2017,,31.897388597932927,34.816417140496114,99.03143485930994,medina,8c:59:c3:e9:8e:02,2,-70
Sun Dec 10 19:43:00 IST 2017,,31.897386072060716,34.816419697832806,97.80870897671376,idolior_2GExt,64:d9:54:e5:68:e3,1,-68
Sun Dec 10 19:43:00 IST 2017,,31.897363311056946,34.81642836082482,95.43864189107866,idolior_5GExt,64:d9:54:e5:68:e2,44,-67
Sun Dec 10 19:43:00 IST 2017,,31.89735872,34.81643079,86.0,,62:45:b1:25:c9:04,36,-77
Sun Dec 10 19:43:00 IST 2017,,31.89735872,34.81643079,86.0,,62:45:b1:25:c9:04,36,-77
Sun Dec 10 19:43:00 IST 2017,,31.89735872,34.81643079,86.0,,62:45:b1:25:c9:04,36,-77
Sun Dec 10 19:02:00 IST 2017,,31.897385420176242,34.81643485293973,99.74021854071202,idolior_2GExt,64:d9:54:e5:68:e3,1,-82
Sun Dec 10 19:03:00 IST 2017,,31.897378910855746,34.81643536380902,101.85083595184454,Nastya,7c:b7:33:2b:a7:c6,6,-82
Sun Dec 10 19:02:00 IST 2017,,31.89738041677728,34.81644232319996,102.16900197278568,Nastya,7c:b7:33:2b:a7:c6,6,-87
Sun Dec 10 19:43:00 IST 2017,,31.897378167588066,34.81644451473012,91.38100581329525,DAP-1325,78:32:1b:07:7c:2c,9,-82
Sun Dec 10 19:43:00 IST 2017,,31.897370772124468,34.81644509242707,94.15352185564625,Haimon2,74:da:38:81:66:bd,2,-74
Sun Dec 10 19:43:00 IST 2017,,31.89737160006463,34.816445839290886,94.58832445282246,Yarden,c0:ac:54:f7:50:5a,6,-73
Sun Dec 10 16:31:00 IST 2017,,31.8973664,34.81644679,90.0,Alis1,7c:b7:33:be:5e:e7,13,-86
Sun Dec 10 19:03:00 IST 2017,,31.897374007412665,34.81644899903459,96.38641187276963,Haimon2,74:da:38:81:66:bd,2,-81
Sun Dec 10 18:37:00 IST 2017,,31.89739328674429,34.81645518475964,95.56436609640278,DAP-1325,78:32:1b:07:7c:2c,9,-93
Sun Dec 10 19:02:00 IST 2017,,31.897384319999997,34.81646043,103.0,porat,e0:ce:c3:8b:a6:29,1,-87
Sun Dec 10 19:02:00 IST 2017,,31.897384319999997,34.81646043,103.0,porat,e0:ce:c3:8b:a6:29,1,-87
Sun Dec 10 19:02:00 IST 2017,,31.89738432,34.81646043917771,103.0,Bezeq-NGN_E817A7,cc:b2:55:e8:17:a8,6,-80
Sun Dec 10 19:02:00 IST 2017,,31.89738432,34.81646044659311,103.0,Bezeq-NGN_E817A7,cc:b2:55:e8:17:a8,6,-89
Sun Dec 10 19:04:00 IST 2017,,31.8973827,34.81646046,103.0,Bezeq_18037,30:46:9a:2c:f5:2c,6,-83
Sun Dec 10 19:02:00 IST 2017,,31.8973843,34.81646051,103.0,vilensky_guest,ee:94:f6:87:a8:31,13,-90
Sun Dec 10 19:02:00 IST 2017,,31.897384309999996,34.8164606,103.0,david,8c:59:c3:e8:d1:1a,1,-82
Sun Dec 10 19:03:00 IST 2017,,31.89738387,34.81646063,103.0,HotSpot-B40016A2,02:c6:b4:00:16:a2,6,-82
Sun Dec 10 19:02:00 IST 2017,,31.89738438,34.81646064,103.0,NIPPON_2329,08:97:58:33:d0:56,2,-80
