Time,ID,Lat,Lon,Alt,SSID,MAC,Ferquency,Signal
"",Device ID: MMB29M.G900FXXU1CPI8
10/12/2017 18:41,Device ID: MMB29M.G900FXXU1CPI8,31.89741447,34.81647161,103,Oxana25,14:ae:db:38:99:3d,6,-90
10/12/2017 18:41,Device ID: MMB29M.G900FXXU1CPI8,31.89741415,34.81647198,103,medina,8c:59:c3:e9:8e:02,2,-93
10/12/2017 18:41,Device ID: MMB29M.G900FXXU1CPI8,31.89741399,34.81647175,103,BezeqFree,06:ae:db:38:99:3d,6,-90
10/12/2017 18:42,Device ID: MMB29M.G900FXXU1CPI8,31.89741338,34.81647162,103,Harazi,e0:ce:c3:8a:d4:45,1,-29
10/12/2017 18:42,Device ID: MMB29M.G900FXXU1CPI8,31.89741338,34.81647162,103,HaikuAndi,00:e0:20:6b:23:04,1,-79
10/12/2017 18:42,Device ID: MMB29M.G900FXXU1CPI8,31.89741332,34.81647157,103,benraf1,c8:be:19:0e:b5:42,3,-93
10/12/2017 18:42,Device ID: MMB29M.G900FXXU1CPI8,31.89741317,34.81647154,103,www.cornet.co.il,00:23:cd:1c:4c:b0,5,-88
10/12/2017 18:42,Device ID: MMB29M.G900FXXU1CPI8,31.89741277,34.81647121,103,Claude,c4:12:f5:fd:53:c2,11,-92
10/12/2017 18:42,Device ID: MMB29M.G900FXXU1CPI8,31.89741188,34.81647065,103,Bezeq-NGN_CCB255E81C7F,cc:b2:55:e8:1c:80,6,-90
10/12/2017 18:42,Device ID: MMB29M.G900FXXU1CPI8,31.89741141,34.8164703,103,vered2.4,74:da:3b:81:69:bb,10,-91
10/12/2017 18:42,Device ID: MMB29M.G900FXXU1CPI8,31.89741125,34.81647017,103,vered2.4_2EX,74:da:38:81:69:ba,10,-93
10/12/2017 18:43,Device ID: MMB29M.G900FXXU1CPI8,31.89740996,34.81646984,103,Rotman2,80:1f:02:5d:a2:50,10,-89
10/12/2017 18:43,Device ID: MMB29M.G900FXXU1CPI8,31.89740993,34.81646988,103,david,8c:59:c3:e8:d1:1b,52,-85
10/12/2017 18:43,Device ID: MMB29M.G900FXXU1CPI8,31.89740965,34.81646977,103,BezeqFree,52:12:f5:fd:53:c3,11,-90
10/12/2017 18:45,Device ID: MMB29M.G900FXXU1CPI8,31.89740525,34.81646857,103,Bamberger_Net,ac:f1:df:9e:cd:41,1,-91
10/12/2017 18:46,Device ID: MMB29M.G900FXXU1CPI8,31.89740514,34.8164688,103,NIPPON_7069,08:97:58:33:5c:aa,3,-80
10/12/2017 18:46,Device ID: MMB29M.G900FXXU1CPI8,31.897405,34.81646877,103,HOTBOX-ED6A,7c:03:4c:ff:3e:48,11,-91
10/12/2017 18:47,Device ID: MMB29M.G900FXXU1CPI8,31.89740306,34.81646858,103,ortal123,14:ae:db:a2:e3:0d,11,-93
10/12/2017 18:47,Device ID: MMB29M.G900FXXU1CPI8,31.89740305,34.81646857,103,midr-cardvr-v1_midevc5fc,44:2c:05:ce:c5:fc,9,-89
10/12/2017 18:48,Device ID: MMB29M.G900FXXU1CPI8,31.89740153,34.81646837,103,Haymon2,14:ae:db:c8:11:7d,11,-94
10/12/2017 18:49,Device ID: MMB29M.G900FXXU1CPI8,31.89740032,34.81646813,103,BezeqFree,06:ae:db:c8:11:7d,11,-93
10/12/2017 18:49,Device ID: MMB29M.G900FXXU1CPI8,31.8973998,34.81646809,103,Bamberger_Net,ac:f1:df:9e:cd:41,1,-86
10/12/2017 18:52,Device ID: MMB29M.G900FXXU1CPI8,31.89739158,34.81646565,103,G4_3529,5c:70:a3:8b:ea:5c,6,-84
10/12/2017 18:56,Device ID: MMB29M.G900FXXU1CPI8,31.89738816,34.81646321,103,AndroidAP,98:86:b1:05:18:dd,6,-81
10/12/2017 18:57,Device ID: MMB29M.G900FXXU1CPI8,31.89738757,34.81646223,103,Xperia_XA_e6be,9e:5c:f9:56:d7:8f,6,-90
10/12/2017 18:59,Device ID: MMB29M.G900FXXU1CPI8,31.8973863,34.81646175,103,MEIZU_M3s,1e:cd:e5:5c:23:f6,10,-84
10/12/2017 19:01,Device ID: MMB29M.G900FXXU1CPI8,31.89738499,34.81646057,103,Tuvia,ac:f1:df:9e:fa:61,13,-83
10/12/2017 19:01,Device ID: MMB29M.G900FXXU1CPI8,31.89738499,34.81646057,103,Claude,c4:12:f5:fd:53:c2,11,-87
10/12/2017 19:02,Device ID: MMB29M.G900FXXU1CPI8,31.89738423,34.81646034,103,Harazi,e0:ce:c3:8a:d4:45,1,-46
10/12/2017 19:02,Device ID: MMB29M.G900FXXU1CPI8,31.89738423,34.81646034,103,arye52,14:ae:db:3c:7c:d2,5,-87
10/12/2017 19:02,Device ID: MMB29M.G900FXXU1CPI8,31.89738423,34.81646034,103,GAL,84:26:15:e9:95:a3,1,-80
10/12/2017 19:02,Device ID: MMB29M.G900FXXU1CPI8,31.89738423,34.81646034,103,Tuvia,ac:f1:df:9e:fa:61,13,-86
10/12/2017 19:02,Device ID: MMB29M.G900FXXU1CPI8,31.89738423,34.81646034,103,BezeqNGN_008702_2.4GHz_1,f8:e9:03:11:bc:09,6,-79
10/12/2017 19:02,Device ID: MMB29M.G900FXXU1CPI8,31.89738423,34.81646034,103,GOLANT,42502_732_3859743,0,-113
10/12/2017 19:02,Device ID: MMB29M.G900FXXU1CPI8,31.89738428,34.81646042,103,david,8c:59:c3:e8:d1:1b,52,-92
10/12/2017 19:02,Device ID: MMB29M.G900FXXU1CPI8,31.89738428,34.81646042,103,Yarden,c0:ac:54:f7:50:5a,6,-89
10/12/2017 19:02,Device ID: MMB29M.G900FXXU1CPI8,31.89738428,34.81646042,103,idolior_5GExt,64:d9:54:e5:68:e2,44,-93
