MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
78:d9:9f:f5:58:2d,paster-2.4g_5GExt_5GExt,[WPA2-PSK-CCMP][WPS][ESS],10/12/2017 16:29,44,-85,31.89736833,34.81645782,87,11,WIFI
14:af:db:a3:f0:ba,BezeqFree,[WPA2-PSK-CCMP][ESS],10/12/2017 16:29,2,-89,31.89736629,34.81646272,89,12,WIFI
74:da:38:83:03:a0,edimaxEXT.setupa0,[WPS][ESS][BLE],10/12/2017 16:29,2,-87,31.89736629,34.81646272,89,12,WIFI
00:23:cd:1c:4c:b0,www.cornet.co.il,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/12/2017 16:29,5,-89,31.89736657,34.81646358,89,11,WIFI
d0:0f:6d:81:a4:01,Rozalia,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/12/2017 16:29,3,-90,31.89736657,34.81646358,89,11,WIFI
14:ae:db:a3:f0:ba,naomi,[WPA2-PSK-CCMP][ESS],10/12/2017 16:29,2,-85,31.89736711,34.81646478,89,10,WIFI
d0:0e:d9:18:12:f1,dina_2GExt,[WPA2-PSK-CCMP][WPS][ESS],10/12/2017 16:29,11,-89,31.89736711,34.81646478,89,10,WIFI
14:ae:db:a2:e3:0d,ortal123,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/12/2017 16:29,11,-92,31.89736711,34.81646478,89,10,WIFI
d0:0e:d9:18:12:f0,dina_5GExt,[WPA2-PSK-CCMP][WPS][ESS],10/12/2017 16:29,36,-90,31.8973668,34.81646568,89,10,WIFI
74:d0:2b:5e:8b:e8,Virus,[WPA2-PSK-CCMP][ESS],10/12/2017 16:29,11,-81,31.89736688,34.81646527,89,11,WIFI
06:ae:db:38:99:3d,BezeqFree,[WPA2-PSK-CCMP][ESS],10/12/2017 16:29,6,-91,31.89736688,34.81646527,89,11,WIFI
e0:ce:c3:8a:d4:45,Harazi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],10/12/2017 16:30,1,-30,31.89736636,34.81646257,89,10,WIFI
a0:ab:1b:56:5e:94,vered_p,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 16:30,4,-91,31.89736659,34.81646204,89,9,WIFI
7c:b7:33:be:5e:e7,Alis1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],10/12/2017 16:31,13,-86,31.8973664,34.81644679,90,6,WIFI
84:26:15:e9:95:a3,GAL,[WPA2-PSK-CCMP][WPS][ESS][BLE],10/12/2017 16:37,1,-81,31.89738324,34.8164571,96,10,WIFI
14:ae:db:c8:11:7d,Haymon2,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,11,-94,31.8973664,34.81644679,0,2.106667519,WIFI
WigleWifi-1.4,appRelease=2.26,model=SM-G900F,release=6.0.1,device=klte,display=MMB29M.G900FXXU1CPI8,board=MSM8974,brand=samsung,,,
