Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1509956702238,00:02:6f:8e:64:67,-78,,35.20247652,32.10013295,12,[ESS],,12412
1509956646236,00:02:6f:b8:c4:1a,-88,,35.20240645,32.10012506,7,[ESS],,112462
1509956693244,00:10:e7:b5:8f:fb,-87,7-tec 2,35.20244253,32.10019539,10,[ESS],,112462
1509956636230,00:10:e7:b5:aa:b2,-90,7-tec 1,35.20264869,32.10025834,7,[ESS],,92452
1509956641242,00:12:2a:39:fa:f4,-79,ShaulHome013,35.20237355,32.10005367,12,[ESS][BLE],,112462
1509956656242,00:18:25:01:ce:90,-89,Coolnet-Hotspot,35.20220902,32.10010263,19,[ESS],,52432
1509956636230,00:18:25:12:75:20,-81,Coolnet-Hotspot,35.20264869,32.10025834,7,[ESS],,82447
1510043756171,00:25:86:cb:fd:f8,-64,,35.2092373,32.10313244,9,[ESS],,92452
1510041240000,00:27:19:e8:ed:58,-86,AUC,35.20931736,32.10250287,18,[ESS],,92452
1509956667248,00:4f:81:05:3f:e8,-82,Zoom,35.20229372,32.10010745,13,[WPS][ESS][BLE],,132472
1509956789000,00:78:9e:f9:e0:bb,-79,dira,35.20264598,32.10018636,51,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],,112462
1509956822000,00:8c:54:8f:ec:f1,-90,Franks,35.20263037,32.10013477,11,[WPA2-PSK-CCMP][ESS][BLE],,112462
1509956667248,06:ae:db:b1:df:05,-88,BezeqFree,35.20229372,32.10010745,13,[WPA2-PSK-CCMP][ESS],,62437
1509956627239,08:10:75:14:5e:60,-89,netis,35.20222877,32.10022667,20,[WPA2-PSK-CCMP][WPS][ESS],,62437
1509956806000,10:be:f5:35:17:d8,-85,Piggy Power,35.2026215,32.10012313,8,[WPA2-PSK-CCMP][ESS][BLE],,12412
1509956806000,10:be:f5:35:58:42,-87,shimoff,35.2026215,32.10012313,8,[WPA2-PSK-CCMP][ESS][BLE],,42427
1509956822000,10:be:f5:38:7b:6c,-82,dira,35.20263037,32.10013477,11,[WPA2-PSK-CCMP][ESS][BLE],,12412
1509970665000,10:be:f5:3d:df:c6,-77,Alon,35.20256632,32.10008625,8,[WPA2-PSK-CCMP][ESS][BLE],,92452
1509956702238,10:be:f5:9e:eb:88,-71,DAP-1360,35.20247652,32.10013295,12,[WPA2-PSK-CCMP][ESS],,52432
1509956837000,14:ae:db:a0:f2:0d,-75,תקנה ווי-פיי יזין,35.20263053,32.10013564,13,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,62437
1509956789000,14:ae:db:a1:f7:dd,-75,BEZEQINT-F7D9,35.20264598,32.10018636,51,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,62437
1509956627239,14:ae:db:a2:3b:1d,-82,Golda,35.20222877,32.10022667,20,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1509956842000,14:ae:db:b1:5a:cd,-94,The Winter is Coming,35.20263071,32.10013567,10,[WPA2-PSK-CCMP][ESS],,112462
1509956743000,14:ae:db:b1:5e:bd,-34,Dirahazaka,35.20252068,32.10015737,14,[WPA2-PSK-CCMP][ESS],,12412
1509955318000,14:ae:db:b1:92:bd,-75,tikva,35.20249564,32.10011879,62,[WPA2-PSK-CCMP][ESS],,62437
1509956622240,14:ae:db:c0:69:dd,-83,knokh,35.20215306,32.10007668,16,[WPA2-PSK-CCMP][ESS],,12412
1509956842000,14:ae:db:c0:84:7d,-67,305530768,35.20263071,32.10013567,10,[WPA2-PSK-CCMP][ESS],,62437
1509956837000,14:ae:db:c5:8e:8a,-84,eduard,35.20263053,32.10013564,13,[WPA2-PSK-CCMP][ESS],,52432
1509956842000,14:ae:db:c5:8e:8d,-88,eduard_5,35.20263071,32.10013567,10,[WPA2-PSK-CCMP][ESS],,-5240
1509956789000,14:ae:db:c6:ea:9a,-94,Aviran- 2.4G,35.20264598,32.10018636,51,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,102457
1509956656242,14:cc:20:f1:07:bc,-91,32,35.20220902,32.10010263,19,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,132472
1509956722000,18:d6:c7:ad:23:68,-87,,35.20251146,32.10015103,17,[WPA2-PSK-CCMP][ESS],,42427
1509956743000,1c:af:f7:7d:fd:6d,-62,Harelus,35.20252068,32.10015737,14,[WEP][ESS],,62437
1510043756171,1c:b9:c4:12:90:b8,-69,Ariel_University,35.2092373,32.10313244,9,[ESS][BLE],,112462
